12:23:45|MN|23.56|MBX12345|24|001|002|003|004|005|006|007|009|02|16|28|04|09|12|12|0|1500|MCD|DLS|21.13|012|19.67|03|04|07
01:34:56|EU|23.56|PDS23678|18|001|002|003|004|005|006|007|009|03|23|24|04|09|12|12|0|12690|MCD|EUR|26.27|012|25.78|03|04|07
03:45:12|MN|23.56|XXM16934|23|001|002|003|004|005|006|007|009|07|16|28|04|09|12|12|0|23654|MCD|DLS|21.13|012|19.67|03|04|07
16:49:23|DL|23.56|MBX12345|89|001|002|003|004|005|006|007|009|05|16|28|04|09|12|12|0|2867|MCD|DLS|21.13|012|19.67|03|04|07
04:23:01|EU|23.56|PDS23678|12|001|002|003|004|005|006|007|009|09|23|24|04|09|12|12|0|3678|MCD|EUR|26.27|012|25.78|03|04|07
19:35:11|MN|23.56|LNS14598|58|001|002|003|004|005|006|007|009|02|16|28|04|09|12|12|0|6987|MCD|DLS|21.13|012|19.67|03|04|07
07:17:34|MN|23.56|PRT04576|23|001|002|003|004|005|006|007|009|03|16|28|04|09|12|12|0|2000|MCD|DLS|21.13|012|19.67|03|04|07
18:47:23|DL|23.56|MBX12345|98|001|002|003|004|005|006|007|009|01|10|19|04|09|12|12|0|27895|MCD|DLS|21.13|012|19.67|03|04|07
11:59:59|MN|23.56|MBX12345|35|001|002|003|004|005|006|007|009|08|16|28|04|09|12|12|0|3700|MCD|DLS|21.13|012|19.67|03|04|07
17:27:56|YN|23.56|LNS14598|76|001|002|003|004|005|006|007|009|09|23|24|04|09|12|12|0|4000|MCD|YNS|400.16|012|380.34|03|04|07
